小时数,路段1,路段2,路段3,路段4,路段5,路段6,路段7,路段8,路段9,路段10,路段11,路段12,路段13,路段14
0,73.4271943937208,73.38478400943274,150.94813206616553,127.0307467762201,111.53545992609395,213.06208090917187,210.71493265763704,223.6965112194634,289.9165479149746,318.8603736167196,381.9026935119337,202.11563000235395,166.371538265798,161.4333635495772
1,39.864075488319436,68.10188971104975,118.96677786840534,63.84219975913851,49.1379676641249,179.97465841388203,188.7129837152452,251.47409385495286,243.78032428656672,229.81702804412402,120.34591199876132,186.2847272964812,150.58981258351378,115.34749243823725
2,32.30476479942389,41.779916210212626,114.28447544329133,109.93391304124167,65.62257516199196,128.7834109960215,185.2030667613248,176.6252930957807,205.87700753331538,227.07232151745478,251.948332983696,164.5303791837867,131.67002335726454,115.82761769909087
3,27.82942035546363,22.771586014360555,90.54514182414758,92.3207022615475,43.816060444602115,115.35619624325827,173.56631714919143,213.27300473046427,190.86357772776302,209.31544963362387,173.47278878982922,195.4127250705882,169.2371448555523,147.69335904941158
4,25.396097528257716,19.197571364546413,96.03320884212862,91.00069868356874,52.43996306057899,165.24397660970553,217.54358393412355,220.22434427885702,236.7366482385233,279.8307244189487,269.58324680845,187.69645297561448,164.18365002076723,124.39268058161396
5,23.129029221864727,21.331176401666276,104.58088180978638,108.62316428161051,47.61015418120202,200.07262482953132,290.9110963102297,290.85498630218956,250.5495059655071,284.59384616906425,185.97306912332772,216.2453424552541,177.13822656637007,197.4093357528855
6,53.067949286651015,34.950040271540445,149.60291201708202,242.0070832536355,311.7604345681101,464.7219976368459,627.6889996023954,572.140287977839,513.7164190765568,497.1726753608787,354.67938386816996,300.51343487402346,281.0683023044843,236.41713542688262
7,115.1057504973908,61.75720540096658,178.7565474692847,467.23605366751104,588.8771091972947,804.4200534740833,1299.7367885331846,1160.3606539225311,1086.840147731889,1046.864538768295,666.1136124384275,573.01312248927,531.4244704756637,479.4008641232185
8,174.4804215641384,170.6678044118633,274.0650829549072,667.5465606574921,864.7164944571655,990.8908746674533,1707.6204845231107,1862.8675017122428,1794.9930757298923,1826.1105048693703,1113.2942303833952,853.9525456100947,797.6182468450016,705.7006237384567
9,263.2962672877769,226.2519520293049,344.95234458646223,731.9337641911094,1183.5188517198278,1316.9320874828736,2430.5482149564077,2494.4731815881178,2489.2155016047145,2449.161992114173,1495.7104613217953,1295.9868961118032,1144.6658405662456,921.5366545395793
10,261.1190871497095,326.36365597501873,492.3794066547649,820.2434894748012,1258.5459053144652,1481.5714780408678,2219.531762827987,2470.4728434824287,2561.2318226510592,2505.967237522672,1677.310635544266,1362.3222540688705,1187.3450971970651,1060.137973608084
11,283.02949322110646,249.65388853193087,421.02052371661506,698.1986741509588,931.6371586496471,1081.49557064627,1677.114417640928,1697.6321502041283,1738.857753463034,1752.7472731623438,1287.8803980911125,1143.7094662518953,1021.0478430812495,896.8044010393543
12,243.3854986885762,286.04012019667994,449.3346654222155,592.4222010109604,647.7447549740517,792.0944059467238,1430.1891375441783,1539.7701635091826,1510.3878506849842,1559.1895431645612,1167.6164879335925,894.6650465579297,704.1580184000819,647.4356194737517
13,257.26332413884916,227.0238572746647,362.42810127850464,855.2044267807275,867.6579936616727,1009.7683539356856,1484.4988579337553,1543.130819874064,1475.0792481161868,1469.652113539417,1033.99252954363,899.7061048282443,803.1424149634489,745.8101731541694
14,375.52118316316296,365.01885014155545,627.7235129292453,867.8742268440684,1097.0156748815566,1282.9594457280066,2060.9211716235095,2061.820082713508,1979.3134340002177,1931.9558046414595,1413.3719315556611,1167.9874510812715,1045.8577704507356,931.7106916048516
15,400.10294094195666,383.99020872441304,680.4992230849416,1139.257651432055,1045.0309758138042,1190.778544660164,1907.305516539981,1976.9108470190718,1984.3894183069674,2025.3750737783328,1449.59479564782,1199.5116274382085,1089.856228050271,995.2833810172692
16,446.09906129242967,519.1249868855616,939.7194807337047,1181.5039248078185,1144.9446796016075,1293.9304307030613,1962.5004532398302,1957.9981017286998,1913.98563296373,1955.9308096606435,1530.5332038525357,1196.2860549550237,1019.9261377608545,990.5634531347866
17,427.8552932063555,412.76795686278314,787.8487084600124,1383.7627481699722,1191.7964869398502,1277.1215021473167,1945.5651682340786,1871.1597711206928,1816.9508137631692,1864.7756360216858,1494.9017249873898,1207.660006233992,1032.0183387717284,954.6358486084303
18,398.9051966880279,533.830882911783,783.0613920998306,1279.680133257682,1037.8337298489046,1153.878816888113,1686.2679974499385,1784.0289645831206,1859.9318366719158,1812.5412269726553,1692.9818218717994,1176.235993847394,953.5051421820257,909.0099460481716
19,262.87413401068505,342.3778933806393,492.0325207929104,708.5003371303194,754.2151817775223,865.7517452042471,1348.3069913397394,1414.0095506124624,1370.9698014414332,1377.0051392964504,1144.9817879417571,973.4969319987483,849.6494387967784,838.333364568328
20,233.9477715444591,254.58824037710446,357.6055273045939,511.6527648638672,430.44985325148104,540.2010596551554,955.7077180550555,1098.3104826807678,1068.2215198942224,1077.7712213606787,901.3046968114296,646.8702041778477,538.8797125235333,487.05277316931574
21,172.50602353412856,245.9462012288993,359.8491087370701,466.39949538041395,350.21196173347784,419.53957082715385,787.8770423297003,845.1171795204117,765.5427603878912,756.1603862515514,611.4241218173198,560.8092591461364,453.19387459831364,393.87576980281887
22,127.23304858521925,147.64975768645047,263.8452508468543,318.360518996672,214.56845470094362,269.36488295980257,545.1849308903153,617.1576565995658,640.1792237139424,641.5204260495732,573.1384774359815,491.63771530588565,425.6301404379316,376.8676166414383
23,98.95493857344218,145.13082391676375,230.98547072325442,212.39430288892757,134.89175173131792,204.1205054999296,405.08077617895526,514.599288848525,433.7907434167996,463.0498543260576,396.6438351073519,375.9701772183403,307.69445022417307,247.25436502178064
